trade_id,entry_timestamp,exit_timestamp,entry_zscore,entry_signal,entry_beta,entry_spread,direction,position_usdt,leg_a_usdt,leg_b_usdt,kelly_fraction,signal_strength,stop_zscore,target_zscore,min_hold_hours,exit_zscore,exit_reason,hours_held,partial_pnl_usdt,gross_pnl_pct,fee_cost_pct,net_pnl_pct,net_pnl_usdt,max_adverse_zscore,max_favorable_zscore,prediction_error_at_entry,beta_uncertainty_at_entry,is_winner
104,2023-11-25 21:00:00+00:00,2023-11-27 10:00:00+00:00,-2.6934,2.6934,1.0358,-0.047098,LONG_SPREAD,244.85,120.27,124.58,0.0455,NORMAL,4.1934,0.2693,32.32,0.5914,TARGET,37.0,9.3,0.064031,0.003,0.061031,24.24,0.5914,-2.6934,-0.047098,0.003815,True
105,2023-12-04 12:00:00+00:00,2023-12-05 17:00:00+00:00,-2.0317,2.0317,1.0069,-0.026995,LONG_SPREAD,230.87,115.04,115.83,0.0455,NORMAL,3.5317,0.2032,24.38,0.9243,TARGET,29.0,5.57,0.042776,0.003,0.039776,14.75,2.0545,-2.0317,-0.026995,0.003746,True
106,2023-12-05 18:00:00+00:00,2023-12-06 00:00:00+00:00,2.2691,-2.2691,1.0168,0.033973,SHORT_SPREAD,515.71,255.7,260.01,0.0455,NORMAL,3.7691,-0.2269,27.23,5.0,STOPLOSS,6.0,0.0,-0.0589,0.003,-0.0619,-31.92,1.0593,5.0,0.033973,0.003739,False
107,2023-12-06 17:00:00+00:00,2023-12-07 09:00:00+00:00,2.6679,-2.6679,1.0691,0.042579,SHORT_SPREAD,242.53,117.22,125.32,0.0455,NORMAL,4.1679,-0.2668,32.01,4.2879,STOPLOSS,16.0,9.18,-0.020849,0.003,-0.023849,3.39,-0.5764,4.2879,0.042579,0.003673,False
108,2023-12-07 10:00:00+00:00,2023-12-09 09:00:00+00:00,2.6881,-2.6881,1.0806,0.040671,SHORT_SPREAD,244.37,117.45,126.92,0.0455,NORMAL,4.1881,-0.2688,32.26,-0.7604,TARGET,47.0,8.71,0.051021,0.003,0.048021,20.45,-2.2759,3.4888,0.040671,0.003732,True
109,2023-12-09 11:00:00+00:00,2023-12-10 19:00:00+00:00,2.1337,-2.1337,1.109,0.033805,SHORT_SPREAD,242.47,114.97,127.5,0.0455,NORMAL,3.6337,-0.2134,25.6,3.856,STOPLOSS,32.0,4.83,-0.027036,0.003,-0.030036,-2.45,-1.0752,3.856,0.033805,0.003409,False
110,2023-12-10 21:00:00+00:00,2023-12-12 10:00:00+00:00,3.0266,-3.0266,1.1545,0.050747,SHORT_SPREAD,275.14,127.71,147.44,0.0455,STRONG,4.5266,-0.3027,36.32,-2.2802,TARGET,37.0,13.26,0.090542,0.003,0.087542,37.35,-4.0527,4.1521,0.050747,0.003523,True
111,2023-12-13 12:00:00+00:00,2023-12-14 19:00:00+00:00,2.4648,-2.4648,1.0135,0.056572,SHORT_SPREAD,224.07,111.28,112.79,0.0455,NORMAL,3.9648,-0.2465,29.58,-0.2869,TARGET,31.0,8.48,0.061792,0.003,0.058792,21.66,-2.0273,3.302,0.056572,0.003028,True
112,2023-12-16 23:00:00+00:00,2023-12-18 13:00:00+00:00,-2.534,2.534,1.0377,-0.053932,LONG_SPREAD,230.36,113.05,117.31,0.0455,NORMAL,4.034,0.2534,30.41,0.7196,TARGET,38.0,10.15,0.07772,0.003,0.07472,27.36,1.2824,-2.534,-0.053932,0.002899,True
113,2023-12-27 16:00:00+00:00,2023-12-28 22:00:00+00:00,-2.0091,2.0091,1.0139,-0.043621,LONG_SPREAD,182.64,90.69,91.95,0.0455,NORMAL,3.5091,0.2009,24.11,0.4083,TARGET,30.0,4.66,0.056789,0.003,0.053789,14.48,0.4083,-2.0091,-0.043621,0.002914,True
114,2024-01-04 15:00:00+00:00,2024-01-05 23:00:00+00:00,2.3525,-2.3525,1.0177,0.033442,SHORT_SPREAD,267.33,132.49,134.84,0.0455,NORMAL,3.8525,-0.2353,28.23,-0.8543,TARGET,32.0,5.07,0.046502,0.003,0.043502,16.7,-3.7419,2.3525,0.033442,0.003173,True
115,2024-01-09 04:00:00+00:00,2024-01-10 09:00:00+00:00,2.3412,-2.3412,1.0114,0.029925,SHORT_SPREAD,266.05,132.27,133.78,0.0455,NORMAL,3.8412,-0.2341,28.09,-0.2889,TARGET,29.0,4.91,0.03517,0.003,0.03217,13.47,-2.2345,2.3412,0.029925,0.003177,True
116,2024-01-10 21:00:00+00:00,2024-01-12 04:00:00+00:00,2.5689,-2.5689,1.0115,0.031989,SHORT_SPREAD,291.92,145.13,146.8,0.0455,NORMAL,4.0689,-0.2569,30.83,-1.0786,TARGET,31.0,6.44,0.047551,0.003,0.044551,19.45,-1.8319,3.065,0.031989,0.003165,True
117,2024-01-23 08:00:00+00:00,2024-01-24 09:00:00+00:00,-2.047,2.047,0.9766,-0.021231,LONG_SPREAD,232.62,117.69,114.93,0.0455,NORMAL,3.547,0.2047,24.56,2.2128,TARGET,25.0,2.34,0.043592,0.003,0.040592,11.78,3.3147,-2.9249,-0.021231,0.00351,True
118,2024-01-24 10:00:00+00:00,2024-01-26 01:00:00+00:00,3.1709,-3.1709,0.9992,0.031524,SHORT_SPREAD,360.32,180.23,180.09,0.0455,STRONG,4.6709,-0.3171,38.05,-0.4062,TARGET,39.0,7.84,0.037527,0.003,0.034527,20.28,-2.1776,3.1709,0.031524,0.003485,True
119,2024-01-26 10:00:00+00:00,2024-01-27 16:00:00+00:00,2.1431,-2.1431,1.0027,0.019801,SHORT_SPREAD,243.53,121.6,121.93,0.0455,NORMAL,3.6431,-0.2143,25.72,-0.5296,TARGET,30.0,5.01,0.025444,0.003,0.022444,10.48,-0.5296,2.1431,0.019801,0.003525,True
120,2024-01-28 01:00:00+00:00,2024-01-28 03:00:00+00:00,3.3729,-3.3729,1.0185,0.031905,SHORT_SPREAD,766.56,379.78,386.79,0.0455,STRONG,4.8729,-0.3373,40.47,5.0,STOPLOSS,2.0,0.0,-0.029959,0.003,-0.032959,-25.27,2.3912,5.0,0.031905,0.003465,False
121,2024-01-28 04:00:00+00:00,2024-01-30 06:00:00+00:00,4.0674,-4.0674,1.0309,0.041295,SHORT_SPREAD,369.76,182.07,187.7,0.0455,STRONG,5.0,-0.4067,48.81,-0.4963,TARGET,50.0,12.09,0.047568,0.003,0.044568,28.57,-1.2304,4.6203,0.041295,0.003459,True
122,2024-01-31 22:00:00+00:00,2024-02-02 01:00:00+00:00,-2.2035,2.2035,1.0529,-0.02252,LONG_SPREAD,250.4,121.97,128.43,0.0455,NORMAL,3.7035,0.2204,26.44,0.3133,TARGET,27.0,3.16,0.026178,0.003,0.023178,8.96,1.2139,-3.091,-0.02252,0.003704,True
123,2024-02-02 08:00:00+00:00,2024-02-03 09:00:00+00:00,2.0282,-2.0282,1.0555,0.02144,SHORT_SPREAD,230.47,112.13,118.35,0.0455,NORMAL,3.5282,-0.2028,24.34,-0.8341,TARGET,25.0,2.76,0.030032,0.003,0.027032,8.99,-1.433,3.0043,0.02144,0.003748,True
124,2024-02-09 19:00:00+00:00,2024-02-11 01:00:00+00:00,2.1433,-2.1433,1.0469,0.023533,SHORT_SPREAD,243.56,118.99,124.57,0.0455,NORMAL,3.6433,-0.2143,25.72,-1.07,TARGET,30.0,2.87,0.034228,0.003,0.031228,10.48,-1.07,2.6181,0.023533,0.003702,True
125,2024-02-13 12:00:00+00:00,2024-02-14 15:00:00+00:00,-2.2017,2.2017,1.0706,-0.021699,LONG_SPREAD,250.19,120.83,129.36,0.0455,NORMAL,3.7017,0.2202,26.42,1.4549,TARGET,27.0,3.01,0.040335,0.003,0.037335,12.35,2.8223,-2.8129,-0.021699,0.003729,True
126,2024-02-23 15:00:00+00:00,2024-02-25 07:00:00+00:00,-3.255,3.255,1.0308,-0.029183,LONG_SPREAD,369.89,182.14,187.75,0.0455,STRONG,4.755,0.3255,39.06,0.8239,TARGET,40.0,8.09,0.036074,0.003,0.033074,20.33,1.2828,-3.559,-0.029183,0.003981,True
127,2024-02-26 12:00:00+00:00,2024-02-27 21:00:00+00:00,-2.3425,2.3425,0.999,-0.021925,LONG_SPREAD,266.19,133.16,133.03,0.0455,NORMAL,3.8425,0.2342,28.11,0.5242,TARGET,33.0,3.64,0.026393,0.003,0.023393,9.87,1.4326,-3.5077,-0.021925,0.003839,True
128,2024-02-28 21:00:00+00:00,2024-02-29 01:00:00+00:00,2.0932,-2.0932,0.9876,0.018604,SHORT_SPREAD,237.86,119.67,118.19,0.0455,NORMAL,3.5932,-0.2093,25.12,3.7372,STOPLOSS,4.0,4.44,-0.015755,0.003,-0.018755,-0.02,-0.0935,3.7372,0.018604,0.003578,False
129,2024-02-29 02:00:00+00:00,2024-03-01 12:00:00+00:00,2.659,-2.659,0.9966,0.024653,SHORT_SPREAD,302.16,151.34,150.82,0.0455,NORMAL,4.159,-0.2659,31.91,-0.7191,TARGET,34.0,7.53,0.032267,0.003,0.029267,16.37,-1.8607,3.3587,0.024653,0.003554,True
130,2024-03-02 06:00:00+00:00,2024-03-03 08:00:00+00:00,-2.0202,2.0202,0.9962,-0.020142,LONG_SPREAD,229.57,115.0,114.57,0.0455,NORMAL,3.5202,0.202,24.24,0.2057,TARGET,26.0,2.39,0.021384,0.003,0.018384,6.61,1.785,-2.3749,-0.020142,0.003418,True
131,2024-03-04 01:00:00+00:00,2024-03-05 06:00:00+00:00,-2.3276,2.3276,0.9774,-0.023217,LONG_SPREAD,264.5,133.76,130.74,0.0455,NORMAL,3.8276,0.2328,27.93,0.3713,TARGET,29.0,3.27,0.025418,0.003,0.022418,9.2,1.6433,-3.3513,-0.023217,0.003352,True
132,2024-03-05 15:00:00+00:00,2024-03-07 08:00:00+00:00,2.6896,-2.6896,0.9642,0.023623,SHORT_SPREAD,305.64,155.6,150.04,0.0455,NORMAL,4.1896,-0.269,32.28,-0.5267,TARGET,41.0,9.42,0.031933,0.003,0.028933,18.26,-4.9417,2.761,0.023623,0.003274,True
133,2024-03-07 14:00:00+00:00,2024-03-10 03:00:00+00:00,3.9889,-3.9889,0.9135,0.038682,SHORT_SPREAD,453.28,236.89,216.39,0.0455,STRONG,5.0,-0.3989,47.87,-0.5049,TARGET,61.0,14.92,0.046632,0.003,0.043632,34.69,-1.1882,3.9889,0.038682,0.002785,True
134,2024-03-11 08:00:00+00:00,2024-03-11 10:00:00+00:00,2.7233,-2.7233,0.9096,0.02774,SHORT_SPREAD,618.93,324.11,294.82,0.0455,NORMAL,4.2233,-0.2723,32.68,5.0,STOPLOSS,2.0,0.0,-0.026823,0.003,-0.029823,-18.46,2.7233,5.0,0.02774,0.002896,False
135,2024-03-11 11:00:00+00:00,2024-03-13 20:00:00+00:00,4.7179,-4.7179,0.9244,0.052496,SHORT_SPREAD,428.9,222.87,206.03,0.0455,STRONG,5.0,-0.4718,56.61,-0.8837,TARGET,57.0,20.29,0.067714,0.003,0.064714,48.05,-1.9752,5.0,0.052496,0.002877,True
136,2024-03-14 01:00:00+00:00,2024-03-16 02:00:00+00:00,2.8688,-2.8688,0.9885,0.044894,SHORT_SPREAD,260.8,131.16,129.64,0.0455,NORMAL,4.3688,-0.2869,34.43,-0.8209,TARGET,49.0,8.29,0.05866,0.003,0.05566,22.8,-1.5261,3.6204,0.044894,0.002869,True
137,2024-03-16 07:00:00+00:00,2024-03-17 14:00:00+00:00,2.3282,-2.3282,1.0278,0.041887,SHORT_SPREAD,211.65,104.38,107.28,0.0455,NORMAL,3.8282,-0.2328,27.94,-1.0255,TARGET,31.0,7.77,0.059777,0.003,0.056777,19.79,-1.8384,2.3282,0.041887,0.002965,True
138,2024-03-18 03:00:00+00:00,2024-03-19 09:00:00+00:00,2.3898,-2.3898,1.0531,0.045709,SHORT_SPREAD,217.25,105.82,111.43,0.0455,NORMAL,3.8898,-0.239,28.68,-0.5367,TARGET,30.0,7.04,0.053791,0.003,0.050791,18.07,-1.3548,2.4771,0.045709,0.003036,True
139,2024-03-19 21:00:00+00:00,2024-03-22 00:00:00+00:00,-2.2683,2.2683,1.0751,-0.039563,LONG_SPREAD,257.76,124.21,133.55,0.0455,NORMAL,3.7683,0.2268,27.22,0.4355,TARGET,51.0,9.79,0.051462,0.003,0.048462,22.28,1.2272,-3.004,-0.039563,0.003178,True
140,2024-04-12 12:00:00+00:00,2024-04-13 13:00:00+00:00,-2.0813,2.0813,1.0069,-0.01898,LONG_SPREAD,236.52,117.85,118.66,0.0455,NORMAL,3.5813,0.2081,24.98,1.8348,TARGET,25.0,2.12,0.03398,0.003,0.03098,9.45,1.9632,-2.0813,-0.01898,0.00366,True
141,2024-04-13 19:00:00+00:00,2024-04-15 12:00:00+00:00,-2.862,2.862,1.0142,-0.025507,LONG_SPREAD,325.23,161.46,163.76,0.0455,NORMAL,4.362,0.2862,34.34,1.7045,TARGET,41.0,8.95,0.040993,0.003,0.037993,21.31,3.2221,-3.8774,-0.025507,0.00363,True
142,2024-04-16 15:00:00+00:00,2024-04-17 18:00:00+00:00,-2.2109,2.2109,1.0462,-0.020771,LONG_SPREAD,251.24,122.78,128.46,0.0455,NORMAL,3.7109,0.2211,26.53,0.2781,TARGET,27.0,3.37,0.023,0.003,0.02,8.39,0.9263,-2.2317,-0.020771,0.003465,True
143,2024-04-18 10:00:00+00:00,2024-04-19 23:00:00+00:00,2.4309,-2.4309,1.0437,0.018903,SHORT_SPREAD,276.24,135.17,141.08,0.0455,NORMAL,3.9309,-0.2431,29.17,-0.3699,TARGET,37.0,4.37,0.021914,0.003,0.018914,9.59,-0.7907,2.4309,0.018903,0.003483,True
144,2024-04-20 11:00:00+00:00,2024-04-22 03:00:00+00:00,-2.1607,2.1607,1.0527,-0.016419,LONG_SPREAD,245.54,119.62,125.92,0.0455,NORMAL,3.6607,0.2161,25.93,0.343,TARGET,40.0,2.66,0.019073,0.003,0.016073,6.61,2.0476,-2.1607,-0.016419,0.003431,True
145,2024-04-22 05:00:00+00:00,2024-04-23 10:00:00+00:00,2.2017,-2.2017,1.0581,0.017321,SHORT_SPREAD,250.19,121.56,128.63,0.0455,NORMAL,3.7017,-0.2202,26.42,-0.3292,TARGET,29.0,3.03,0.019901,0.003,0.016901,7.26,-1.1324,2.5881,0.017321,0.003297,True
146,2024-04-23 16:00:00+00:00,2024-04-24 20:00:00+00:00,2.3136,-2.3136,1.0702,0.018258,SHORT_SPREAD,262.91,127.0,135.91,0.0455,NORMAL,3.8136,-0.2314,27.76,-0.6892,TARGET,28.0,2.39,0.023719,0.003,0.020719,7.84,-2.0675,2.3136,0.018258,0.003353,True
147,2024-04-25 05:00:00+00:00,2024-04-26 08:00:00+00:00,-2.2061,2.2061,1.0638,-0.017545,LONG_SPREAD,250.7,121.47,129.22,0.0455,NORMAL,3.7061,0.2206,26.47,0.9432,TARGET,27.0,2.5,0.025568,0.003,0.022568,8.15,1.1453,-2.2061,-0.017545,0.00348,True
